station,zone,lon,lat,doy,T_C,chl_a,salinity,turbidity,flow_U,do_mgl,risk_score,risk_label
ST01_Odaiba,inner,139.775,35.628,1,21.919447399201932,1.1635224321966204,29.86522039168391,8.313376423026611,0.06751373720524145,9.301367904695075,31.9498984584302,1
ST01_Odaiba,inner,139.775,35.628,2,21.262377993615118,1.2438517935074258,30.500125078339394,8.179275319708637,0.0663954382272341,7.858100165956777,20.194980654874335,0
ST01_Odaiba,inner,139.775,35.628,3,21.74135045480897,0.2061896328751749,30.985785772093845,8.408272332608417,0.06557502669446214,9.516871126442991,8.542676876810981,0
ST01_Odaiba,inner,139.775,35.628,4,22.29117491720193,1.6643264844642252,29.986759272373376,8.193581113974998,0.10482374492190466,8.76212995479079,30.409127076494165,1
ST01_Odaiba,inner,139.775,35.628,5,20.734365539179493,1.3804128865765182,30.470035792488797,8.274913737130285,0.07702502285168848,8.859258852744086,29.20008582843018,1
ST01_Odaiba,inner,139.775,35.628,6,20.582746442582838,1.7073315022519429,30.232130477441995,11.62162898899529,0.0704678435362171,8.676836836802138,29.739584461290697,1
ST01_Odaiba,inner,139.775,35.628,7,21.881269523935973,0.2,30.57627598572298,8.603772129984854,0.06753709304452618,8.405953204727775,8.3654313027569,0
ST01_Odaiba,inner,139.775,35.628,8,21.079210899768977,2.255370088082139,30.4722170846943,8.749221121400955,0.07288928838690928,8.625630118797897,36.24105691707506,1
ST01_Odaiba,inner,139.775,35.628,9,19.93661326353091,1.1431354586497142,30.292162518078072,9.80512896899082,0.048597479309868824,8.06024198999072,23.306543293358438,1
ST01_Odaiba,inner,139.775,35.628,10,20.592781631942,1.7690196002641094,30.64927365325117,12.4944050410266,0.03957590700818756,9.610834474887806,35.20537877044487,1
ST01_Odaiba,inner,139.775,35.628,11,19.63419690984528,0.6972555797724828,31.062681891715428,8.86746100108801,0.03352343388178379,8.206195053708377,14.178247692200463,0
ST01_Odaiba,inner,139.775,35.628,12,19.47824694549859,1.5261938325210214,30.482728454518348,9.516912692694802,0.033554236754083346,8.28721331298694,25.747615041689713,1
ST01_Odaiba,inner,139.775,35.628,13,19.890048130353996,0.6960547709228796,30.77470023206571,8.504577749339047,0.04658568279383034,8.523896113588538,13.774923717868514,0
ST01_Odaiba,inner,139.775,35.628,14,18.011295300565898,0.9142345363711508,30.189709780650894,8.490206064317626,0.04254073865905457,9.215230048693124,19.07272400225761,0
ST01_Odaiba,inner,139.775,35.628,15,18.007265831030345,2.186939829324889,30.30981952870984,8.621431609741595,0.04591819867020725,8.705803315556219,34.695586277772904,1
ST01_Odaiba,inner,139.775,35.628,16,18.782535938651414,1.1388893913860423,30.757665406488393,9.113532570813346,0.05351355572254602,8.205545347181978,18.185908816284766,0
ST01_Odaiba,inner,139.775,35.628,17,18.26719807573065,1.3478124924804862,31.08050003335591,9.149359512189342,0.06379949620476899,9.201734951072357,29.26429411573243,1
ST01_Odaiba,inner,139.775,35.628,18,19.17393489407802,1.6796175618049436,30.761393825966262,8.547555739859693,0.0942014531929169,8.992399788688434,35.71152964278557,1
ST01_Odaiba,inner,139.775,35.628,19,18.041214777538833,1.498603384498899,30.58035414172006,8.371756127272079,0.0737522239765178,8.915373440472983,23.576136392990197,1
ST01_Odaiba,inner,139.775,35.628,20,17.48295694189099,1.3329167873693528,30.69373203849882,9.071270330341326,0.1138835259563769,8.986293060199836,17.61572770558479,0
ST01_Odaiba,inner,139.775,35.628,21,19.630599518845106,1.4479803875439867,30.338600869570026,8.394330931838951,0.07272030226127457,9.657744014478707,33.320146252534,1
ST01_Odaiba,inner,139.775,35.628,22,18.122900646509603,2.4759361875810537,30.914956006633002,8.989897732603069,0.06172821733960919,9.574037084647898,36.14954339565248,1
ST01_Odaiba,inner,139.775,35.628,23,18.20319181539555,1.2551788754014468,31.0182733021199,9.259417906207265,0.07387305318152791,8.425312840817668,27.55200737407582,1
ST01_Odaiba,inner,139.775,35.628,24,16.855270386933977,1.3954318760549969,30.638006095873344,9.293759477830227,0.04950564864979336,9.349552802216161,22.166598603229502,1
ST01_Odaiba,inner,139.775,35.628,25,17.405760223306622,1.8323483556278939,30.652762257144396,9.465067368234715,0.048528639614839615,8.853265879947331,23.705501202272107,1
ST01_Odaiba,inner,139.775,35.628,26,17.776545299489015,1.8732861303019508,30.893756001143323,10.011249213556546,0.07261522995519304,8.899636696954598,25.340207559510393,1
ST01_Odaiba,inner,139.775,35.628,27,16.613942021615504,1.9290301652809596,30.70326417631715,8.932715224558576,0.030532799582992234,8.02308976677792,23.401279203040783,1
ST01_Odaiba,inner,139.775,35.628,28,17.682659143146477,1.6714967978848025,30.834791800086037,9.444002734426517,0.033158428159477144,8.631843478933543,22.046124762973662,1
ST01_Odaiba,inner,139.775,35.628,29,16.749433039922767,0.799014183355504,31.504957500446107,9.186213250114525,0.05018158232618588,8.374867984722304,12.891594105114589,0
ST01_Odaiba,inner,139.775,35.628,30,16.844956761207214,2.2075376314859882,30.821394476833106,8.59779544485851,0.048270858888597695,9.031220525136762,30.383076851848003,1
ST01_Odaiba,inner,139.775,35.628,31,16.445883678140973,0.8400352117023702,30.8085071458476,8.47255270474103,0.05541711991899039,9.12842871156982,12.844887411760926,0
ST01_Odaiba,inner,139.775,35.628,32,18.258622923278732,1.589161533493921,30.742293358528812,8.739357371732112,0.061601070790951895,7.870201407255733,23.065981638818776,1
ST01_Odaiba,inner,139.775,35.628,33,16.616212785657588,1.0877689979742609,31.18039381636983,8.960009212719761,0.0672514716048535,8.691181351055318,16.80959376675655,0
ST01_Odaiba,inner,139.775,35.628,34,15.631755180042338,1.46251360065565,30.923376815195617,9.280677859129597,0.08473172148336981,9.148739147440414,20.813365567607303,0
ST01_Odaiba,inner,139.775,35.628,35,16.987620556221135,1.691445856546062,30.803561408898137,10.05158278377776,0.07056704458685206,8.625322094666826,25.275331455671193,1
ST01_Odaiba,inner,139.775,35.628,36,15.20536171160074,1.7232318357045089,31.415409081409347,8.730843940352424,0.07131931380044157,8.991618140167235,18.071319428513256,0
ST01_Odaiba,inner,139.775,35.628,37,16.20241453598303,1.812216396717536,31.465552505087665,8.685915536135054,0.06754945010052095,8.840457721300691,22.6000241469947,1
